"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"30/12/2021","2,96","3,05","3,04","2,92","3,05","16,23M"
"29/12/2021","2,91","2,96","1,72","2,88","2,99","12,15M"
"28/12/2021","2,89","2,91","1,03","2,85","2,93","8,11M"
"27/12/2021","2,80","2,88","3,18","2,78","2,88","8,05M"
"23/12/2021","2,80","2,79","-0,70","2,73","2,82","15,11M"
"22/12/2021","2,84","2,81","-0,70","2,77","2,86","11,24M"
"21/12/2021","2,83","2,83","0,70","2,76","2,86","9,94M"
"20/12/2021","2,80","2,81","0,35","2,74","2,84","19,90M"
"17/12/2021","2,69","2,80","4,03","2,67","2,96","67,72M"
"16/12/2021","2,68","2,69","1,11","2,63","2,69","10,63M"
"15/12/2021","2,67","2,66","0,37","2,58","2,67","9,76M"
"14/12/2021","2,67","2,65","-1,10","2,61","2,72","13,40M"
"13/12/2021","2,69","2,68","0,00","2,65","2,73","6,66M"
"10/12/2021","2,69","2,68","1,12","2,67","2,72","6,46M"
"09/12/2021","2,66","2,65","-1,10","2,63","2,72","10,30M"
"08/12/2021","2,70","2,68","-0,73","2,64","2,74","15,29M"
"07/12/2021","2,80","2,70","-2,84","2,69","2,83","11,95M"
"06/12/2021","2,72","2,78","1,81","2,72","2,79","9,15M"
"03/12/2021","2,74","2,73","-0,72","2,70","2,80","12,95M"
"02/12/2021","2,62","2,75","5,68","2,62","2,75","13,10M"
"01/12/2021","2,59","2,60","2,72","2,56","2,68","18,24M"
"30/11/2021","2,63","2,54","-4,46","2,54","2,66","12,50M"
"29/11/2021","2,65","2,65","1,51","2,62","2,67","5,78M"
"26/11/2021","2,65","2,61","-3,63","2,59","2,68","8,55M"
"25/11/2021","2,69","2,71","1,10","2,68","2,74","4,38M"
"24/11/2021","2,64","2,68","0,37","2,63","2,71","5,46M"
"23/11/2021","2,65","2,67","1,12","2,57","2,67","9,70M"
"22/11/2021","2,68","2,64","-1,11","2,61","2,73","6,61M"
"19/11/2021","2,65","2,67","0,75","2,63","2,73","8,05M"
"18/11/2021","2,67","2,65","0,37","2,65","2,77","13,67M"
"17/11/2021","2,74","2,64","-2,19","2,60","2,76","13,08M"
"16/11/2021","2,81","2,70","-3,18","2,66","2,82","13,09M"
"12/11/2021","2,86","2,79","-2,42","2,78","2,90","6,20M"
"11/11/2021","2,82","2,86","2,11","2,80","2,92","17,75M"
"10/11/2021","2,76","2,80","1,07","2,74","2,84","8,46M"
"09/11/2021","2,77","2,77","0,00","2,74","2,82","9,91M"
"08/11/2021","2,81","2,77","-2,43","2,73","2,84","15,62M"
"05/11/2021","2,79","2,84","2,86","2,74","2,84","12,83M"
"04/11/2021","2,68","2,76","2,94","2,63","2,86","34,77M"
"03/11/2021","2,60","2,68","1,87","2,60","2,72","11,15M"
"01/11/2021","n/d","2,63","3,09","2,57","2,66","6,97M"
"29/10/2021","2,56","2,55","0,00","2,52","2,63","14,70M"
"28/10/2021","2,60","2,55","-2,26","2,55","2,63","10,90M"
"27/10/2021","2,65","2,61","-1,85","2,58","2,69","7,09M"
"26/10/2021","2,65","2,66","-0,73","2,61","2,68","10,03M"
"25/10/2021","2,60","2,68","3,42","2,60","2,70","11,82M"
"22/10/2021","2,62","2,59","-1,13","2,49","2,65","24,86M"
"21/10/2021","2,74","2,62","-4,66","2,58","2,74","18,53M"
"20/10/2021","2,76","2,75","0,00","2,72","2,78","6,98M"
"19/10/2021","2,84","2,75","-4,12","2,70","2,85","15,08M"
"18/10/2021","2,83","2,87","0,69","2,79","2,90","8,28M"
"15/10/2021","2,78","2,85","2,48","2,78","2,85","5,52M"
"14/10/2021","2,80","2,78","0,00","2,74","2,81","5,20M"
"13/10/2021","2,78","2,78","0,00","2,78","2,85","7,25M"
"11/10/2021","2,77","2,78","0,00","2,76","2,84","9,00M"
"08/10/2021","2,75","2,78","1,81","2,75","2,82","11,15M"
"07/10/2021","2,86","2,73","-3,82","2,73","2,91","16,00M"
"06/10/2021","2,87","2,84","-2,37","2,77","2,87","12,17M"
"05/10/2021","2,87","2,91","1,38","2,82","2,93","11,57M"
"04/10/2021","2,94","2,87","-2,68","2,84","2,95","7,77M"
"01/10/2021","2,88","2,95","2,75","2,84","2,98","18,56M"
"30/09/2021","2,72","2,87","6,20","2,70","2,92","37,61M"
"29/09/2021","2,70","2,70","0,36","2,66","2,72","5,44M"
"28/09/2021","2,69","2,69","-0,36","2,66","2,72","7,67M"
"27/09/2021","2,71","2,70","-0,73","2,68","2,74","7,22M"
"24/09/2021","2,74","2,72","-1,08","2,71","2,75","9,14M"
"23/09/2021","2,66","2,75","3,33","2,66","2,78","9,89M"
"22/09/2021","2,59","2,66","3,85","2,58","2,72","15,88M"
"21/09/2021","2,59","2,56","0,00","2,54","2,61","10,30M"
"20/09/2021","2,61","2,56","-3,71","2,52","2,61","13,12M"
"17/09/2021","2,64","2,66","0,37","2,56","2,66","15,34M"
"16/09/2021","2,62","2,65","0,75","2,61","2,67","9,25M"
"15/09/2021","2,67","2,63","-0,74","2,61","2,69","7,78M"
"14/09/2021","2,70","2,65","-1,82","2,64","2,77","7,95M"
"13/09/2021","2,65","2,70","2,24","2,61","2,72","9,78M"
"10/09/2021","2,68","2,64","1,13","2,57","2,69","11,31M"
"09/09/2021","2,59","2,61","1,53","2,50","2,63","15,96M"
"08/09/2021","2,72","2,57","-5,44","2,57","2,76","12,17M"
"06/09/2021","2,65","2,72","2,60","2,65","2,74","4,53M"
"03/09/2021","2,66","2,65","1,13","2,61","2,68","6,58M"
"02/09/2021","2,70","2,62","-2,92","2,62","2,71","7,02M"
"01/09/2021","2,75","2,70","-1,44","2,70","2,76","6,61M"
"31/08/2021","2,76","2,74","-0,71","2,69","2,82","7,32M"
"30/08/2021","2,82","2,76","-2,10","2,73","2,82","8,25M"
"27/08/2021","n/d","2,82","1,78","2,75","2,82","3,46M"
"26/08/2021","2,82","2,77","-2,09","2,75","2,84","6,28M"
"25/08/2021","2,79","2,83","1,77","2,76","2,86","9,53M"
"24/08/2021","2,73","2,78","2,55","2,72","2,81","10,18M"
"23/08/2021","2,75","2,71","-1,08","2,67","2,77","11,70M"
"20/08/2021","2,63","2,74","3,35","2,61","2,75","14,53M"
"19/08/2021","2,51","2,65","4,67","2,49","2,66","14,39M"
"18/08/2021","2,59","2,54","-1,91","2,52","2,63","8,99M"
"17/08/2021","2,53","2,58","2,34","2,47","2,58","12,12M"
"16/08/2021","2,62","2,53","-4,12","2,53","2,62","15,52M"
"13/08/2021","2,63","2,63","0,38","2,59","2,64","6,25M"
"12/08/2021","2,68","2,62","-2,21","2,62","2,69","8,93M"
"11/08/2021","2,68","2,68","0,37","2,67","2,73","6,32M"
"10/08/2021","2,70","2,67","-1,09","2,67","2,73","8,20M"
"09/08/2021","2,71","2,70","-0,37","2,69","2,76","19,59M"
"06/08/2021","2,77","2,71","-2,83","2,71","2,83","25,58M"
"05/08/2021","2,96","2,79","-4,71","2,79","2,96","28,17M"
"04/08/2021","2,92","2,93","0,68","2,89","2,98","18,84M"
"03/08/2021","3,06","2,91","-6,05","2,88","3,09","45,63M"
